Country	CTY	FIFA	FPS	CCR	"GDP per capita"	"Trade as % of GDP"	Inflation	"Oil rents as % of GDP"	Population	"Life Expectancy at birth"
Croatia	CRO	8	1091	47	19.33	77.16	1.05	0.47	4.42	76.48
"Czech Republic"	CZE	33	749	38	24.52	153.86	1.41	0.04	10.52	77.42
Denmark	DEN	11	1035	28	40.16	95.39	2.30	1.79	5.55	79.10
England	ENG	5	1173	5	35.69	62.75	3.29	1.18	62.23	80.40
France	FRA	15	915	19	34.12	53.27	1.53	0.02	64.89	81.37
Germany	GER	3	1345	10	37.40	88.18	1.14	0.03	81.78	79.99
Greece	GRE	14	964	28	28.41	51.88	4.71	0.02	11.32	80.39
Italy	ITA	9	1082	15	31.95	55.22	1.54	0.11	60.48	81.74
Netherlands	NED	2	1365	18	42.16	148.63	1.27	0.06	16.62	80.70
Poland	POL	73	449	61	19.88	85.76	2.71	0.07	38.18	76.25
Portugal	POR	7	1100	3	25.42	69.24	1.39	0.00	10.64	79.03
"Republic of Ireland"	IRL	22	864	51	40.46	183.07	-0.95	0.00	4.47	80.29
Russia	RUS	12	971	19	19.89	51.75	6.86	14.23	141.75	68.80
Spain	ESP	1	1564	3	32.23	54.68	1.80	0.00	46.07	81.63
Sweden	SWE	18	891	60	39.02	93.97	1.16	0.00	9.38	81.45
Ukraine	UKR	55	568	17	6.72	103.16	103.16	0.94	45.87	70.28